CMPLNT_NUM,MUNIMETER_ID,DIST_MUNI
100470547,2262781,14.69695991
100471377,3091519,16.68272202
100492832,3253015,675.4578316
100611672,1218205,74.69966922
100632500,2093042,12.58920123
100662098,1109653,131.376558
100922220,4203022,69.08267997
101002642,3343009,168.1745416
101362728,4293097,148.4524813
101535508,2063016,796.8519022
101617683,3283071,332.9833226
101624453,1473085,58.34884245
101630823,1023084,99.59121856
101673696,5043061,282.292112
101834260,1473096,86.3146834
102536763,2073086,246.4178973
102827203,1433342,72.61033987
102879382,1433787,107.5923435
102886649,1473001,75.03907893
102905346,1173017,20.94727002
102959716,2293056,357.887172
102984728,1263081,111.0863689
103023731,1143028,144.1251399
103186821,1473097,70.63343391
103238969,2023005,16.78395869
103263613,4263035,284.3937147
103774260,2213003,695.9380009
103838800,3193074,369.7393885
104266246,1409943,10.78428206
104361827,4391239,285.4043827
104617200,1483068,16.39954917
104777868,5053318,3637.050739
104876558,2021629,340.9163351
104893682,1023169,113.9407192
104960321,2053024,353.3363096
105179303,4061124,150.8610952
105228155,4293067,6.97214625
105364507,1403030,52.87009172
105366110,3179386,117.9881819
105609170,2023035,29.8450522
105659026,3373020,357.4045228
105793279,3043010,9.347436246
105879583,3283005,159.7228427
105931557,1058375,11.19076224
105977182,4073022,7.388563181
106019688,2043007,106.606508
106134411,2023035,29.8450522
106161765,4093073,753.194616
106215785,4193051,15.85253464
106325377,3123037,234.7109147
106421119,4443010,18.60479397
106909331,3183036,113.03148
106945625,3193065,9.469301056
107093211,1403102,8.734140525
107315074,2033019,8.627329345
107508544,3333060,198.1689301
107551123,1083091,8.126991248
107588663,3403049,336.3329438
107652867,1443949,6.599115953
107897593,2203038,247.0430878
107939270,2023043,413.3992382
108047294,3193009,3.923638037
108426617,2203023,1135.37514
108600116,3573023,9.247785223
108938424,1453079,4.728572961
108973247,1443232,69.3253547
108995794,3463045,8.918427969
109082937,1013027,30.93353971
109122047,1263044,107.3219487
109325918,2293053,372.9854145
109360223,3013666,33.72706284
109564439,1369629,34.9639784
109877906,3013038,54.43528166
110063365,4333137,141.3963196
110103132,3163122,417.4951016
110111312,3423001,15.71800079
110172415,1323001,84.21795263
110241433,1289736,229.4915072
110241433,1263091,229.4915072
110690406,3013644,50.71871621
110693778,1442550,15.59382885
110769947,1473040,12.52724684
110781996,3403126,20.9311154
110867209,2083026,14.602211
110991412,1403073,58.37354445
111181455,1443932,14.46006366
111299294,3033003,1227.208569
111517314,5043061,337.2743228
111616066,2323220,38.42178605
111797846,1033106,10.06344379
111811571,2083026,14.602211
111813386,1083041,25.27717303
112355936,4063101,72.4998898
112376099,3013546,82.53927924
112521763,1433905,32.57100892
112525618,2262762,58.64707189
112591740,3403098,184.5451963
112789255,2013160,125.3458495
112878580,1218212,8.496927272
112930669,1443715,10.43441682
113099033,1283029,178.0010334
113258097,2253195,8.682553179
113314760,1033008,11.09819222
113411107,1323049,14.59580204
113538934,4153014,110.2471535
113665248,4093101,9.803241932
113879052,3383013,739.8736389
113893589,3373010,19.6699596
114085160,4243119,60.24522245
114194069,1443227,88.37450116
114282135,3253026,463.8920615
114291157,5023005,15.64982297
114302672,3013644,50.71871621
114330047,4863002,521.2782132
114794248,3033039,602.5686782
114908722,1453226,66.49281163
115055075,3503017,20.20407575
115149946,3123076,269.3579769
115178826,3283077,291.4732114
115275135,3193114,101.8875996
115299222,1259664,84.7533886
115448535,3163021,448.7905183
115977206,1453245,13.22796515
116110405,4413043,40.01948227
116132070,1033072,16.48982825
116146353,1149986,27.48776346
116245562,2023005,16.78395869
116403653,3163003,9.58164791
116533917,4313008,25.40342522
116582485,3193055,147.9156989
116634268,1083041,25.27717303
116779244,1264917,110.0046921
116906457,1023134,6.817958856
116971503,4533001,45.90526241
117000215,4093110,35.41625992
117057863,2053021,374.4094696
117093977,2143004,224.2083533
117138603,1403125,136.7235784
117157828,4253115,637.3897128
117184469,4061124,150.8610952
117367781,2023029,59.75902141
117414972,3033041,1012.302029
117417524,3013673,125.7439196
117541343,3153041,10.67237126
117678873,4081943,60.94934584
117684175,4061124,150.8610952
117788441,4013124,39.26376183
118043998,4413147,24.72461394
118085242,4103011,1393.466265
118253743,1259664,244.6631207
118298147,4483122,571.0823361
118502396,1453208,30.55947811
118629397,5053318,3034.086743
118654988,3233026,445.289237
118711562,2103020,22.90966051
118738033,2023029,157.7877095
118935644,1208067,11.11909108
119071380,4483111,602.0676718
119152572,2293047,244.952591
119177243,2083091,220.7223519
119208937,2293056,357.887172
119284637,1259662,220.5711136
119583034,3091476,8.268999403
119967447,2203025,696.3458718
120031704,3403098,192.704841
120112430,1294849,114.7525896
120693955,2103022,83.88667724
121044581,4061124,150.8610952
121111570,4053023,146.8903986
121395537,1393023,62.82394439
121577155,1243128,32.18272121
121876485,1483037,128.1165718
121911549,1263075,491.5086455
121989794,3163030,8.699081871
122134033,3443012,320.9656087
122402201,3043222,10.1169123
122655686,1218160,10.16542737
122670660,5053301,743.1720066
122737119,3063187,442.4300357
122781926,1389697,13.44081914
122984438,3543026,12.72405224
122989147,4122297,8.11602721
123012095,1043092,79.42773838
123076746,4122398,79.8271224
123330408,1473014,7.292268598
123358638,1503025,332.8655129
123400632,4522522,9.06349892
123653007,1013027,30.93353971
123662490,3623011,17.46764774
123662490,4293148,17.46764774
123702152,4293141,262.43935
123795323,4122319,208.74257
123874857,3602968,7.496579371
124139708,1443227,88.37450116
124285545,4373120,349.624091
124370303,2023041,574.057955
124579119,4323132,360.5815074
124633583,1443182,79.41243724
124704088,3113074,85.54060591
124839170,3013673,125.7439196
125040394,1243064,36.81863424
125221110,4423116,333.5646225
125221891,2083009,18.6190101
125623840,1038151,20.32201232
125711223,2363002,326.8782326
125747814,3333060,198.1689301
125771123,4522526,289.1714185
126015738,1273070,15.35937137
126140681,4373120,360.6585192
126140825,2043003,77.33406028
126510605,1403027,45.61143385
126923811,4293027,8.651238706
127229900,5053304,1401.255512
127377494,3193094,192.578667
127380417,4273033,103.0814932
127536296,3773002,400.3975595
127742605,3403012,319.4698895
127771535,2343001,143.0533211
127775215,2253166,313.4201144
127832869,2053052,187.0893311
127985464,3493035,208.7787586
128353228,3383133,671.5236427
128353647,1263037,34.92184811
128416681,1443767,18.24315233
128431175,3053057,345.607487
128450123,3043121,148.6527318
128610530,3283058,69.83258156
128638692,4113125,222.8518783
128676932,1403106,8.791656315
128694901,1058375,11.19076224
128731641,4063101,72.4998898
128810807,1033078,133.6419108
128817544,1473001,75.03907893
128842416,4443054,5.512452124
128883100,4103018,7.174796889
129140525,1228486,94.5208366
129175631,1443201,90.91441964
129678064,3033022,366.8188841
129689963,1503004,22.20967645
129878444,4173058,192.0545914
129939011,5043069,1194.31353
129971498,1074882,11.0991316
130000772,3043096,16.74758936
130120454,1413005,11.17616797
130215365,3193085,298.1397068
130394729,2203025,1274.643206
130521682,2373008,412.5396288
130590828,3773002,1205.956434
130794407,5053318,3249.773306
130927879,4061143,13.39130921
130995285,4493134,454.0042913
131043881,3103003,6.880285389
131050962,5053303,147.1208726
131088356,1019685,92.50601093
131099016,3253026,13.57698746
131108510,3203008,380.8626614
131247550,4463020,124.6918641
131293670,4523023,107.0862767
131489388,3033041,990.3384384
131835921,5013005,313.064632
132008742,1433885,65.68915886
132029434,4483122,780.7878036
132182008,5053303,259.6224493
132433403,4221282,25.08030177
132437940,3013673,125.7439196
132456798,1433885,65.68915886
132640399,3373020,459.408911
132887881,3213035,43.98034151
132904947,3153004,28.5673978
132926194,1253014,19.62568166
133138384,2043001,32.16361107
133228394,2053050,86.55938078
133250714,4463041,61.65172346
133420873,4413046,20.69092106
133694138,1083002,5.805276841
134044089,3073092,2.057898425
134085065,2073069,301.1042323
134149208,5043069,1194.31353
134267610,2263004,19.01662659
134372663,3253021,48.79654786
134546940,1443227,88.37450116
135278545,3033001,419.6904146
135411838,2053018,9.519504963
135592922,1263072,112.7205277
