CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,OFNS_DESC,PD_DESC,PRECINCT_ID,NUM_LRCNY,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,LATITUDE_CRIME,LONGITUDE_CRIME,DIST_ENTR,SBWY_ENTR_ID,LAT_SBWY,LONG_SBWY,SBWY_LINE,DIST_SHLTR,BUS_SHLTR_ID,LAT_BUS,LONG_BUS,WIFI_ID,DIST_WIFI,LAT_WIFI,LONG_WIFI,MUNIMETER_ID,DIST_MUNI,LIBRARY,DIST_LIB
257602706,4/24/2017,19:30:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CLOTHING/BOUTIQUE,40.72403497,-73.99909951,99.7072565,1873,40.72426,-73.997957,N-R,251.1505355,MN0025,40.706812,-73.947831,2249,122.5002061,40.745968,-73.994039,1473096,86.3146834,Mulberry Street,288.7776624
275314499,4/11/2017,19:00:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,COMMERCIAL BUILDING,40.70512875,-74.00841955,153.8081072,1193,40.706272,-74.009447,3-Feb,118.7268265,MN0004,40.706812,-73.947831,868,48.60373135,40.745968,-73.994039,1483095,14.78640782,New Amsterdam,939.2991834
275495073,4/18/2017,17:40:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DRUG STORE,40.71280318,-74.0074466,28.82594937,1634,40.712712,-74.007766,A-C-E-1-2-3,139.3670319,MN0018,40.706812,-73.947831,2255,66.29591966,40.745968,-73.994039,1113045,108.8610611,New Amsterdam,93.04085389
281669024,4/5/2017,22:00:00,PETIT LARCENY,"LARCENY,PETIT BY ACQUIRING LOS",1,157,NA,TRANSIT - NYC SUBWAY,40.70148881,-74.01254497,50.01421459,1575,40.701938,-74.012588,R-1,201.5133051,MN0003,40.706812,-73.947831,443,45.89756677,40.745968,-73.994039,1483066,149.495903,New Amsterdam,1399.302208
297913612,4/17/2017,18:55:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,FERRY/FERRY TERMINAL,40.701541,-74.01218793,55.55894208,1575,40.701938,-74.012588,R-1,179.3537337,MN0003,40.706812,-73.947831,443,47.70319696,40.745968,-73.994039,1113075,109.7349028,New Amsterdam,1385.49171
297944785,4/21/2017,19:30:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DEPARTMENT STORE,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
300798350,4/19/2017,11:36:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,BOOK/CARD,40.71801562,-74.00474161,207.4432417,408,40.71987,-74.005038,A-C-E,162.9377881,MN01265,40.706812,-73.947831,2966,185.7564451,40.745968,-73.994039,1113017,64.40480719,New Amsterdam,559.2908707
303680891,4/15/2017,17:13:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,RESIDENCE - APT. HOUSE,40.70590296,-74.00536472,332.8384721,1360,40.70863,-74.006999,A-C-J-Z-2-3-4-5,86.96353324,MN01074,40.706812,-73.947831,865,76.35501549,40.745968,-73.994039,1113001,30.33768616,New Amsterdam,878.0595696
316322128,4/25/2017,16:40:00,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",1,157,NA,TRANSIT - NYC SUBWAY,40.7225938,-74.00635456,23.3596038,275,40.722569,-74.00608,1,106.2396824,MN01166,40.706812,-73.947831,2266,29.62849434,40.745968,-73.994039,1323028,38.48699348,Hudson Park,825.0946807
325927745,4/7/2017,16:30:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DRUG STORE,40.70803794,-74.01147856,46.76325011,1292,40.708436,-74.011298,5-Apr,94.48012533,MN01276,40.706812,-73.947831,457,27.71033748,40.745968,-73.994039,1483082,91.74508677,New Amsterdam,686.5526834
328264501,4/11/2017,23:30:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CHAIN STORE,40.70715186,-74.00453164,265.3642019,1360,40.70863,-74.006999,A-C-J-Z-2-3-4-5,110.1388509,MN01617,40.706812,-73.947831,863,39.77212896,40.745968,-73.994039,1483089,55.56142384,New Amsterdam,767.2044253
329830632,4/21/2017,14:20:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DEPARTMENT STORE,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
332692142,4/20/2017,6:47:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DRUG STORE,40.71280318,-74.0074466,28.82594937,1634,40.712712,-74.007766,A-C-E-1-2-3,139.3670319,MN0018,40.706812,-73.947831,2255,66.29591966,40.745968,-73.994039,1113045,108.8610611,New Amsterdam,93.04085389
340527788,4/14/2017,11:45:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CLOTHING/BOUTIQUE,40.72241557,-73.99933403,160.2998405,1285,40.72239,-73.997437,6,426.3074464,MN0025,40.706812,-73.947831,2272,185.719358,40.745968,-73.994039,1473042,6.23508741,Mulberry Street,362.9417719
342434697,4/7/2017,12:18:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DEPARTMENT STORE,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
349169021,4/10/2017,17:30:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,COMMERCIAL BUILDING,40.70563901,-74.0114529,14.72440753,322,40.705747,-74.011554,J-Z,255.5171097,MN01075,40.706812,-73.947831,2280,98.81306338,40.745968,-73.994039,1483073,114.5231533,New Amsterdam,932.0524524
359674765,4/2/2017,18:00:00,PETIT LARCENY,"LARCENY,PETIT OF LICENSE PLATE",1,157,FRONT OF,STREET,40.72180032,-74.00984668,300.1854283,1181,40.722932,-74.00662,1,355.1759918,MN01344,40.706812,-73.947831,3009,197.4844315,40.745968,-73.994039,1113013,282.7226077,New Amsterdam,928.3626364
365093606,4/17/2017,16:50:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DEPARTMENT STORE,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
366780871,4/14/2017,18:55:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,DEPARTMENT STORE,40.71009385,-74.01060963,54.05946938,1880,40.710435,-74.011066,R,269.6365953,MN01276,40.706812,-73.947831,2201,74.89400614,40.745968,-73.994039,1483037,128.1165718,New Amsterdam,450.8026878
372823242,4/24/2017,8:30:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CHAIN STORE,40.70382454,-74.01315133,23.93837938,1887,40.704015,-74.013284,R-1,203.4931359,MN0003,40.706812,-73.947831,2350,82.97471898,40.745968,-73.994039,1483068,41.28976306,New Amsterdam,1171.35804
381328424,4/3/2017,16:45:00,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",1,157,NA,STREET,40.7149549,-74.00968334,57.69571234,278,40.715444,-74.009453,1/2/2003,183.1388943,MN0019,40.706812,-73.947831,2268,67.95517672,40.745968,-73.994039,1113039,28.57463917,New Amsterdam,216.6004801
387032880,4/28/2017,15:15:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CHAIN STORE,40.72363697,-73.9982986,74.96469527,1873,40.72426,-73.997957,N-R,274.1683963,MN0025,40.706812,-73.947831,2249,91.90379368,40.745968,-73.994039,1473040,12.52724684,Mulberry Street,227.8151911
398752588,4/15/2017,13:10:00,PETIT LARCENY,"LARCENY,PETIT FROM BUILDING,UN",1,157,INSIDE,FAST FOOD,40.70430761,-74.01323077,24.08011613,1889,40.704096,-74.013293,R-1,239.9679323,MN0003,40.706812,-73.947831,2345,90.38879908,40.745968,-73.994039,1483051,13.20027194,New Amsterdam,1124.634712
405109167,4/19/2017,14:46:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CHAIN STORE,40.71550689,-74.00519956,216.8879898,1288,40.713839,-74.003864,J-Z-4-5-6,141.5452451,MN01265,40.706812,-73.947831,146,217.419646,40.745968,-73.994039,1113053,174.5058621,New Amsterdam,311.1620537
405333620,4/15/2017,15:00:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,COMMERCIAL BUILDING,40.71550689,-74.00519956,216.8879898,1288,40.713839,-74.003864,J-Z-4-5-6,141.5452451,MN01265,40.706812,-73.947831,146,217.419646,40.745968,-73.994039,1113053,174.5058621,New Amsterdam,311.1620537
409010628,4/6/2017,12:00:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,FOOD SUPERMARKET,40.71525943,-74.0112309,151.6173599,278,40.715444,-74.009453,1/2/2003,252.3944185,MN0019,40.706812,-73.947831,2268,167.7911111,40.745968,-73.994039,1113044,115.1480138,New Amsterdam,339.9976161
410573744,4/2/2017,18:05:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,CLOTHING/BOUTIQUE,40.72393888,-74.00245832,212.5742826,768,40.725583,-74.003747,C-E,281.3010967,MN01166,40.706812,-73.947831,2261,276.1694239,40.745968,-73.994039,1323036,204.223404,Hudson Park,713.7107897
411017807,4/17/2017,13:00:00,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",1,157,FRONT OF,STREET,40.7251905,-73.99812178,96.28690194,1874,40.724344,-73.997875,N-R,101.8071091,MN0025,40.706812,-73.947831,2249,102.0302993,40.745968,-73.994039,1473095,81.07435178,Mulberry Street,236.7256586
412729477,4/14/2017,12:30:00,PETIT LARCENY,"LARCENY,PETIT FROM OPEN AREAS,",1,157,NA,STREET,40.70742642,-74.00106186,505.8942682,1635,40.709475,-74.006409,A-C-J-Z-2-3-4-5,197.4183686,MN0008,40.706812,-73.947831,860,202.3986524,40.745968,-73.994039,1113068,203.7211365,Chatham Square,761.2474757
413419403,4/18/2017,15:30:00,PETIT LARCENY,"LARCENY,PETIT FROM STORE-SHOPL",1,157,INSIDE,SMALL MERCHANT,40.72155635,-74.00493306,48.63035181,772,40.721967,-74.005133,A-C-E,56.85328875,MN01213,40.706812,-73.947831,2262,85.0832486,40.745968,-73.994039,1243046,71.87756707,Hudson Park,936.3620621
